a,op,b,result
9,*,8,72.0
5,/,4,1.25
3,-,1,2.0
6,+,6,12.0
4,*,2,8.0
0,/,5,0.0
6,/,8,0.75
8,-,8,0.0
3,-,1,2.0
4,*,9,36.0
6,*,2,12.0
7,+,4,11.0
1,+,1,2.0
6,-,3,3.0
9,+,5,14.0
1,/,1,1.0
9,-,6,3.0
1,*,7,7.0
8,+,4,12.0
4,+,2,6.0
1,*,3,3.0
5,-,9,-4.0
2,+,1,3.0
8,-,2,6.0
1,+,6,7.0
4,*,2,8.0
3,-,7,-4.0
9,*,4,36.0
9,-,2,7.0
1,-,0,1.0
7,+,7,14.0
0,*,3,0.0
2,/,7,0.2857142857142857
3,-,4,-1.0
4,+,9,13.0
0,*,2,0.0
2,/,6,0.3333333333333333
8,+,4,12.0
7,/,8,0.875
9,+,8,17.0
9,*,3,27.0
9,-,0,9.0
0,-,5,-5.0
5,*,8,40.0
9,/,9,1.0
1,/,2,0.5
5,+,8,13.0
4,+,3,7.0
4,+,8,12.0
9,+,2,11.0
5,+,5,10.0
0,+,5,5.0
5,/,3,1.6666666666666667
3,*,7,21.0
1,+,4,5.0
5,/,2,2.5
1,*,4,4.0
7,*,2,14.0
7,+,7,14.0
3,+,7,10.0
2,+,3,5.0
1,+,2,3.0
7,/,1,7.0
0,*,2,0.0
0,*,2,0.0
0,-,1,-1.0
8,-,6,2.0
6,+,6,12.0
0,-,9,-9.0
9,+,1,10.0
4,/,2,2.0
6,-,0,6.0
0,+,4,4.0
7,-,9,-2.0
2,+,0,2.0
7,*,4,28.0
4,-,0,4.0
5,-,9,-4.0
8,*,6,48.0
4,/,3,1.3333333333333333
0,-,7,-7.0
7,/,7,1.0
1,-,5,-4.0
8,-,1,7.0
3,+,7,10.0
1,+,9,10.0
1,-,3,-2.0
3,+,2,5.0
5,-,2,3.0
7,-,3,4.0
1,*,8,8.0
5,*,6,30.0
9,-,8,1.0
7,*,1,7.0
4,-,6,-2.0
0,+,6,6.0
2,*,1,2.0
5,+,8,13.0
6,*,9,54.0
5,/,1,5.0
6,-,4,2.0
2,*,5,10.0
3,/,1,3.0
0,-,5,-5.0
1,*,2,2.0
4,+,5,9.0
0,-,9,-9.0
2,/,2,1.0
6,/,6,1.0
0,*,6,0.0
5,/,6,0.8333333333333334
6,*,0,0.0
8,/,7,1.1428571428571428
3,-,0,3.0
7,-,4,3.0
0,/,9,0.0
4,/,3,1.3333333333333333
7,*,9,63.0
1,/,3,0.3333333333333333
1,+,1,2.0
9,/,8,1.125
3,/,3,1.0
6,+,8,14.0
6,/,1,6.0
7,*,4,28.0
5,/,1,5.0
4,+,2,6.0
1,*,8,8.0
9,+,5,14.0
0,*,8,0.0
2,/,4,0.5
8,/,3,2.6666666666666665
4,-,5,-1.0
1,+,1,2.0
8,+,4,12.0
9,*,7,63.0
0,/,2,0.0
9,-,8,1.0
9,*,5,45.0
8,-,0,8.0
2,-,0,2.0
9,-,0,9.0
0,/,1,0.0
4,/,5,0.8
7,+,7,14.0
2,+,6,8.0
4,-,1,3.0
2,/,6,0.3333333333333333
3,+,7,10.0
2,+,6,8.0
3,-,4,-1.0
4,+,1,5.0
5,+,9,14.0
4,+,5,9.0
3,/,5,0.6
4,*,2,8.0
7,*,7,49.0
5,/,1,5.0
8,+,9,17.0
6,*,4,24.0
0,/,4,0.0
6,-,4,2.0
5,*,9,45.0
6,+,7,13.0
7,-,2,5.0
5,/,8,0.625
5,/,1,5.0
1,-,1,0.0
7,/,4,1.75
4,*,8,32.0
2,/,5,0.4
1,/,5,0.2
5,/,7,0.7142857142857143
1,+,2,3.0
5,-,8,-3.0
1,/,4,0.25
3,*,9,27.0
6,-,4,2.0
2,/,1,2.0
7,+,5,12.0
3,*,8,24.0
6,/,9,0.6666666666666666
0,*,2,0.0
3,*,4,12.0
4,-,3,1.0
2,*,9,18.0
3,/,7,0.42857142857142855
1,/,6,0.16666666666666666
2,*,1,2.0
0,+,7,7.0
9,/,7,1.2857142857142858
2,-,5,-3.0
1,*,1,1.0
6,-,5,1.0
7,+,2,9.0
8,/,2,4.0
5,/,6,0.8333333333333334
8,/,1,8.0
6,/,9,0.6666666666666666
7,/,5,1.4
9,*,4,36.0
9,*,7,63.0
2,/,6,0.3333333333333333
6,+,9,15.0
2,*,5,10.0
7,*,5,35.0
9,*,4,36.0
7,*,3,21.0
1,*,2,2.0
2,-,1,1.0
6,*,9,54.0
5,-,3,2.0
1,+,1,2.0
3,*,9,27.0
6,*,1,6.0
1,/,2,0.5
5,*,0,0.0
9,/,1,9.0
6,+,2,8.0
3,+,0,3.0
4,*,8,32.0
0,*,2,0.0
6,+,7,13.0
5,-,6,-1.0
6,*,6,36.0
4,+,4,8.0
5,+,2,7.0
0,/,1,0.0
7,-,2,5.0
7,+,3,10.0
4,/,1,4.0
2,+,7,9.0
0,-,8,-8.0
4,/,7,0.5714285714285714
6,/,2,3.0
0,/,9,0.0
1,/,1,1.0
5,*,2,10.0
3,+,7,10.0
3,-,8,-5.0
2,*,2,4.0
9,+,2,11.0
